iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
ECU,South America,Ecuador,2020-04-07,3747.0,101.0,254.429,191.0,11.0,18.429,212.378,5.725,14.421,10.826,0.623,1.045,,,,,,,,,7951.0,361.0,0.451,0.02,446.0,0.025,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-04-08,3995.0,248.0,241.857,220.0,29.0,20.143,226.435,14.057,13.708,12.469,1.644,1.142,,,,,,,,,8658.0,707.0,0.491,0.04,438.0,0.025,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-04-09,4450.0,455.0,241.714,242.0,22.0,17.429,252.224,25.789,13.7,13.716,1.247,0.988,,,,,,,,,9639.0,981.0,0.546,0.056,477.0,0.027,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-04-10,4965.0,515.0,257.429,272.0,30.0,21.714,281.414,29.19,14.591,15.417,1.7,1.231,,,,,,,,,13657.0,4018.0,0.774,0.228,1000.0,0.057,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-04-11,7161.0,2196.0,541.857,297.0,25.0,21.714,405.882,124.468,30.712,16.834,1.417,1.231,,,,,,,,,14201.0,544.0,0.805,0.031,1052.0,0.06,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-04-12,7257.0,96.0,541.714,315.0,18.0,20.429,411.323,5.441,30.704,17.854,1.02,1.158,,,,,,,,,14584.0,383.0,0.827,0.022,1048.0,0.059,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-04-13,7466.0,209.0,545.714,333.0,18.0,21.857,423.169,11.846,30.931,18.874,1.02,1.239,,,,,,,,,14826.0,242.0,0.84,0.014,1034.0,0.059,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-04-14,7529.0,63.0,540.286,355.0,22.0,23.429,426.74,3.571,30.623,20.121,1.247,1.328,,,,,,,,,15098.0,272.0,0.856,0.015,1021.0,0.058,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-04-15,7603.0,74.0,515.429,355.0,0.0,19.286,430.934,4.194,29.214,20.121,0.0,1.093,,,,,,,,,15614.0,516.0,0.885,0.029,994.0,0.056,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-04-16,7858.0,255.0,486.857,388.0,33.0,20.857,445.388,14.453,27.595,21.992,1.87,1.182,,,,,,,,,16137.0,523.0,0.915,0.03,928.0,0.053,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-04-17,8225.0,367.0,465.714,403.0,15.0,18.714,466.189,20.801,26.396,22.842,0.85,1.061,,,,,,,,,16525.0,388.0,0.937,0.022,410.0,0.023,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-04-18,8450.0,225.0,184.143,421.0,18.0,17.714,478.942,12.753,10.437,23.862,1.02,1.004,,,,,,,,,17513.0,988.0,0.993,0.056,473.0,0.027,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-04-19,9022.0,572.0,252.143,456.0,35.0,20.143,511.363,32.421,14.291,25.846,1.984,1.142,,,,,,,,,18433.0,920.0,1.045,0.052,550.0,0.031,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-04-20,9468.0,446.0,286.0,474.0,18.0,20.143,536.642,25.279,16.21,26.866,1.02,1.142,,,,,,,,,19860.0,1427.0,1.126,0.081,719.0,0.041,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-04-21,10128.0,660.0,371.286,507.0,33.0,21.714,574.05,37.408,21.044,28.737,1.87,1.231,,,,,,,,,20480.0,620.0,1.161,0.035,769.0,0.044,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-04-22,10398.0,270.0,399.286,520.0,13.0,23.571,589.354,15.303,22.631,29.473,0.737,1.336,,,,,,,,,21607.0,1127.0,1.225,0.064,856.0,0.049,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-04-23,10850.0,452.0,427.429,537.0,17.0,21.286,614.973,25.619,24.226,30.437,0.964,1.206,,,,,,,,,23383.0,1776.0,1.325,0.101,1035.0,0.059,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-04-24,11183.0,333.0,422.571,560.0,23.0,22.429,633.847,18.874,23.951,31.741,1.304,1.271,,,,,,,,,,,,,1257.0,0.071,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-04-25,11183.0,0.0,390.429,576.0,16.0,22.143,633.847,0.0,22.129,32.647,0.907,1.255,,,,,,,,,,,,,1392.0,0.079,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-04-26,11183.0,0.0,308.714,576.0,0.0,17.143,633.847,0.0,17.498,32.647,0.0,0.972,,,,,,,,,,,,,1538.0,0.087,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-04-27,22719.0,11536.0,1893.0,576.0,0.0,14.571,1287.702,653.855,107.294,32.647,0.0,0.826,,,,,,,,,31134.0,,1.765,,1611.0,0.091,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-04-28,23240.0,521.0,1873.143,663.0,87.0,22.286,1317.232,29.53,106.169,37.579,4.931,1.263,,,,,,,,,32460.0,1326.0,1.84,0.075,1711.0,0.097,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-04-29,24258.0,1018.0,1980.0,871.0,208.0,50.143,1374.932,57.7,112.225,49.368,11.789,2.842,,,,,,,,,33684.0,1224.0,1.909,0.069,1725.0,0.098,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-04-30,24675.0,417.0,1975.0,883.0,12.0,49.429,1398.567,23.635,111.942,50.048,0.68,2.802,,,,,,,,,34347.0,663.0,1.947,0.038,1566.0,0.089,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-01,24934.0,259.0,1964.429,900.0,17.0,48.571,1413.247,14.68,111.343,51.012,0.964,2.753,,,,,,,,,37061.0,2714.0,2.101,0.154,1677.0,0.095,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-02,26336.0,1402.0,2164.714,1063.0,163.0,69.571,1492.712,79.465,122.695,60.25,9.239,3.943,,,,,,,,,38924.0,1863.0,2.206,0.106,1666.0,0.094,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-03,27464.0,1128.0,2325.857,1371.0,308.0,113.571,1556.646,63.934,131.828,77.708,17.457,6.437,,,,,,,,,43727.0,4803.0,2.478,0.272,2076.0,0.118,,,people tested,93.52,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-04,29538.0,2074.0,974.143,1564.0,193.0,141.143,1674.199,117.553,55.214,88.647,10.939,8.0,,,,,,,,,46260.0,2533.0,2.622,0.144,2161.0,0.122,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-05,31881.0,2343.0,1234.429,1569.0,5.0,129.429,1806.999,132.8,69.967,88.93,0.283,7.336,,,,,,,,,,,,,1729.0,0.098,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-06,31881.0,0.0,1089.0,1569.0,0.0,99.714,1806.999,0.0,61.724,88.93,0.0,5.652,,,,,,,,,42870.0,,2.43,,1312.0,0.074,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-07,29420.0,-2461.0,677.857,1618.0,49.0,105.0,1667.511,-139.488,38.421,91.707,2.777,5.951,,,,,,,,,44373.0,1503.0,2.515,0.085,1432.0,0.081,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
